mapping, replan, sfc, mpc, df, 
0, 0.000463, 0.006018, 3.39937, 0.007815, 
0, 0.000222, 0.006, 2.99857, 0.008056, 
0, 0.000555, 0.010593, 4.1052, 0.007111, 
0, 0.000296, 0.025019, 3.30778, 0.006037, 
0, 0.000259, 0.005926, 3.24359, 0.006371, 
0, 0.000222, 0.005648, 4.75861, 0.006612, 
5.75176, 0.000203, 0.004907, 2.87794, 0.006445, 
0, 0.000203, 0.005315, 3.0658, 0.006814, 
0, 0.000277, 0.005333, 2.96633, 0.006167, 
0, 0.000166, 0.005463, 2.79274, 0.006, 
0, 0.000222, 0.006111, 3.26809, 0.006037, 
0, 0.000204, 0.005315, 3.18759, 0.009463, 
0, 0.000259, 0.006611, 3.22498, 0.008074, 
0, 0.000314, 0.00587, 3.78435, 0.006129, 
0, 0.000259, 0.006111, 3.12089, 0.007018, 
5.3157, 0.000518, 0.011408, 4.31696, 0.006407, 
0, 0.000185, 0.005055, 3.5865, 0.006648, 
0, 0.000222, 0.005166, 3.28165, 0.006037, 
0, 0.000223, 0.005, 3.75083, 0.006426, 
0, 0.000185, 0.004833, 3.38089, 0.007055, 
0, 0.000222, 0.005444, 3.49365, 0.00687, 
0, 0.000185, 0.005408, 3.41854, 0.016445, 
0, 0.000185, 0.005537, 9.39307, 0.006871, 
0, 0.000259, 0.005333, 3.35594, 0.006778, 
0, 0.000278, 0.005055, 3.86956, 0.007167, 
0, 0.000315, 0.0075, 4.93239, 0.006186, 
0, 0.000185, 0.005074, 3.24435, 0.00713, 
12.8824, 0.000352, 0.005222, 2.9407, 0.007, 
0, 0.000241, 0.005777, 3.21258, 0.006722, 
0, 0.000315, 0.005852, 2.93469, 0.008, 
0, 0.000185, 0.005667, 3.58791, 0.006666, 
0, 0.000185, 0.005481, 2.98567, 0.010148, 
0, 0.000222, 0.005889, 3.296, 0.007167, 
0, 0.000203, 0.005111, 3.00309, 0.007778, 
0, 0.000204, 0.005444, 3.01657, 0.008074, 
0, 0.000223, 0.005778, 5.90524, 0.005833, 
5.73918, 0.000204, 0.005222, 3.08682, 0.006204, 
0, 0.00024, 0.004982, 2.97845, 0.006815, 
0, 0.000204, 0.00487, 3.34754, 0.00663, 
0, 0.000222, 0.004908, 2.91709, 0.007148, 
0, 0.000297, 0.006055, 3.36478, 0.006926, 
0, 0.000222, 0.005092, 3.2082, 0.009926, 
0, 0.000537, 0.006444, 3.93513, 0.005926, 
0, 0.000463, 0.005278, 3.17911, 0.007315, 
0, 0.000222, 0.005963, 3.18156, 0.008149, 
0, 0.000259, 0.033148, 3.02482, 0.008815, 
6.02072, 0.000241, 0.006389, 3.49883, 0.006685, 
